Brand,Model,MSRP,Dest Chrg,Tax Credit (kWh),After Tax,Range,Type
Lucid,"Air Dream Edition Range 19"" (2022)","169,000","1,500","7,500","163,000",520,EV
Lucid,"Air Grand Touring 19"" (2022)","139,000","1,500","7,500","133,000",516,EV
Lucid,"Air Dream Edition Range 21"" (2022)","169,000","1,500","7,500","163,000",481,EV
Lucid,"Air Dream Edition Performance 19"" (202.2)","169,000","1,500","7,500","163,000",471,EV
Lucid,"Air Grand Touring 21"" (2022)","139,000","1,500","7,500","133,000",469,EV
Lucid,"Air Dream Edition Performance 21"" (2022)","169,000","1,500","7,500","163,000",451,EV
Tesla,"Model S LR AWD 19"" (2022)","94,990","1,200",,"96,190",405,EV
Tesla,"Model S Plaid 19"" (2022)","129,990","1,200",,"131,190",396,EV
Tesla,"Model S LR AWD 21"" (2022)","99,490","1,200",,"100,690",375,EV
Tesla,"Model 3 Long Range AWD 18"" (2022)","50,990","1,200",,"52,190",358,EV
Mercedes,"EQS 450+ (RWD; 20"") (2022)","102,310","1,050","7,500","95,860",350,EV
Tesla,"Model X LR AWD 20"" (2022)","104,990","1,200",,"106,190",348,EV
Tesla,"Model S Plaid 21"" (2022)","134,490","1,200",,"135,690",348,EV
Mercedes,"EQS 580 4MATlC (AWD; 21"") (2022)","119,110","1,050","7,500","112,660",340,EV
Tesla,"Model 3 Long Range AWD 19"" (2022)","52,490","1,200",,"53,690",334,EV
Tesla,"Model X Plaid 20"" (2022)","126,490","1,200",,"127,690",333,EV
Tesla,"Model X LR AWD 22"" (2022)","110,490","1,200",,"111,690",332,EV
Tesla,"Model Y Long Range AWD 19"" (2022)","58,990","1,200",,"60,190",330,EV
GMC,Hummer EV Pickup (Edition 1) (2022),"110,295",,,"110,295",329,EV
BMW,"iX xDrive50 20"" (2022)","83,200",995,"7,500","76,695",324,EV
Tesla,"Model Y Long Range AWD 20"" (2022)","60,990","1,200",,"62,190",318,EV
Rivian,"RIS (Large pack, 21"") (2022)","70,000","1,075","7,500","63,575",316,EV
