State,Electric (EV),Plug-In Hybrid Electric (PHEV),Hybrid Electric (HEV),Biodiesel,Ethanol/Flex (E85),Compressed Natural Gas (CNG),Propane,Hydrogen,Methanol,Gasoline,Diesel,Unknown Fuel
Alabama,8700,4400,50800,48100,449800,100,100,0,0,4077100,126100,30300
Alaska,2000,700,9000,8700,48600,0,0,0,0,457100,30500,5500
Arizona,65800,20400,150800,61200,446000,600,800,0,0,5476100,198700,70100
Arkansas,5100,2500,30600,33300,283900,200,0,0,0,2229500,89700,10600
California,903600,361100,1514000,183900,1338000,10300,1500,14900,0,31059000,725300,8200
Colorado,59900,24000,131800,62100,346400,300,100,0,0,4506300,206800,49400
Connecticut,22000,13100,64500,10100,139800,200,0,0,0,2636300,44100,21200
Delaware,5400,2800,19500,4700,66200,0,0,0,0,795400,14500,5100
District of Columbia,5900,3200,17200,400,17800,100,0,0,0,272200,2000,600
Florida,168000,45800,338700,150900,1137200,400,100,0,0,15846500,343500,97200
Georgia,60100,18100,147200,82500,745000,300,300,0,0,8204500,205900,78500
Hawaii,19800,5600,32600,3100,39900,0,0,0,0,960000,15500,4000
Idaho,5900,3500,36500,40300,133300,100,100,0,0,1545500,136000,33000
Illinois,66900,25700,244100,55400,807900,300,0,0,0,8606400,171300,59500
Indiana,17700,10100,100900,49100,587100,300,0,0,0,5116800,153500,58900
Iowa,6200,4900,48600,37000,338900,100,0,0,0,2521300,103000,58200
Kansas,7600,4300,43500,25000,260100,200,100,0,0,2159200,87000,17600
Kentucky,7600,4400,55800,32300,363800,300,0,0,0,3368800,115800,25800
Louisiana,5900,2900,31400,60100,397500,100,0,0,0,3159000,115400,19900
Maine,5000,5700,28900,10500,109100,0,0,0,0,1028100,26800,7900
Maryland,46100,22900,146200,30300,326900,300,0,0,0,4373900,88400,31800
Massachusetts,49400,30500,158600,19500,297000,200,0,0,0,4777600,59300,30200
Michigan,33100,24300,122800,62800,905700,300,100,0,0,7071800,175400,49600
Minnesota,24300,11900,105300,46900,531500,100,0,0,0,4180500,127300,25600
Mississippi,2400,1600,22300,31600,302000,100,0,0,0,2275400,75400,9100
Missouri,17900,10400,95100,61300,576700,1200,100,0,0,4444600,176200,38900
Montana,3300,1700,17100,33200,98000,0,0,0,0,765400,69900,11000
Nebraska,4600,2900,27300,25600,201800,100,0,0,0,1576900,75100,25900
Nevada,32900,8800,59100,24700,130700,200,100,0,0,2157700,85200,21300
New Hampshire,7000,4800,31100,12900,95400,100,0,0,0,1180700,29400,12300
New Jersey,87000,26800,142600,25900,404200,300,0,0,0,6339500,85500,36900
New Mexico,7100,3900,37600,28600,155900,100,100,0,0,1584500,88000,23600
New York,84700,59800,259600,48400,633100,400,100,0,0,9987400,152000,80800
North Carolina,45600,18800,175300,71300,675300,300,100,0,0,7700300,209600,73700
North Dakota,600,600,6600,18300,93500,0,0,0,0,614300,43800,7800
Ohio,34100,17800,165700,63400,868500,700,100,0,0,8868300,197000,62700
Oklahoma,16300,11500,47000,60200,380800,2000,300,0,0,3538100,147500,46200
Oregon,47000,22500,138900,50200,186300,100,100,0,0,3065400,216100,53200
Pennsylvania,47400,25400,199600,68100,698500,500,100,0,0,8888900,191700,45100
Rhode Island,4300,3400,18600,2800,43100,0,0,0,0,782500,11200,6100
South Carolina,13500,6700,66800,38300,411400,100,100,0,0,4254700,107600,45500
South Dakota,1200,1000,10300,20000,105700,0,0,0,0,739400,53000,14500
Tennessee,22000,8900,94000,45700,519400,100,100,0,0,5536100,157700,38600
Texas,149000,42800,361800,420800,2398800,1400,1400,0,0,21065800,771000,133200
Utah,28000,10200,69300,61500,189900,2300,600,0,0,2454700,155000,26000
Vermont,5300,4200,17800,6400,40000,0,0,0,0,501500,14700,5100
Virginia,56600,21700,198400,40000,496200,300,0,0,0,6643300,153700,31900
Washington,104100,31400,270200,67500,348300,100,100,0,0,5650700,277400,52700
West Virginia,1900,1400,18300,15600,127500,100,0,0,0,1267500,45700,10900
Wisconsin,15700,10000,105200,46500,549700,300,0,0,0,4577400,144500,26900
Wyoming,800,600,6900,19100,58600,0,0,0,0,483000,61200,14200
United States,2442300,1012400,6291800,2526100,20906700,25600,6600,14900,0,241372900,7156900,1752800
