Year,State,Electric (EV),Plug-In Hybrid Electric (PHEV),Hybrid Electric (HEV),Biodiesel,Ethanol/Flex (E85),Compressed Natural Gas (CNG),Propane,Hydrogen,Methanol,Gasoline,Diesel,Unknown Fuel
2022,Alabama,8700,4400,50800,48100,449800,100,100,0,0,4077100,126100,30300
2022,Alaska,2000,700,9000,8700,48600,0,0,0,0,457100,30500,5500
2022,Arizona,65800,20400,150800,61200,446000,600,800,0,0,5476100,198700,70100
2022,Arkansas,5100,2500,30600,33300,283900,200,0,0,0,2229500,89700,10600
2022,California,903600,361100,1514000,183900,1338000,10300,1500,14900,0,31059000,725300,8200
2022,Colorado,59900,24000,131800,62100,346400,300,100,0,0,4506300,206800,49400
2022,Connecticut,22000,13100,64500,10100,139800,200,0,0,0,2636300,44100,21200
2022,Delaware,5400,2800,19500,4700,66200,0,0,0,0,795400,14500,5100
2022,District of Columbia,5900,3200,17200,400,17800,100,0,0,0,272200,2000,600
2022,Florida,168000,45800,338700,150900,1137200,400,100,0,0,15846500,343500,97200
2022,Georgia,60100,18100,147200,82500,745000,300,300,0,0,8204500,205900,78500
2022,Hawaii,19800,5600,32600,3100,39900,0,0,0,0,960000,15500,4000
2022,Idaho,5900,3500,36500,40300,133300,100,100,0,0,1545500,136000,33000
2022,Illinois,66900,25700,244100,55400,807900,300,0,0,0,8606400,171300,59500
2022,Indiana,17700,10100,100900,49100,587100,300,0,0,0,5116800,153500,58900
2022,Iowa,6200,4900,48600,37000,338900,100,0,0,0,2521300,103000,58200
2022,Kansas,7600,4300,43500,25000,260100,200,100,0,0,2159200,87000,17600
2022,Kentucky,7600,4400,55800,32300,363800,300,0,0,0,3368800,115800,25800
2022,Louisiana,5900,2900,31400,60100,397500,100,0,0,0,3159000,115400,19900
2022,Maine,5000,5700,28900,10500,109100,0,0,0,0,1028100,26800,7900
2022,Maryland,46100,22900,146200,30300,326900,300,0,0,0,4373900,88400,31800
2022,Massachusetts,49400,30500,158600,19500,297000,200,0,0,0,4777600,59300,30200
2022,Michigan,33100,24300,122800,62800,905700,300,100,0,0,7071800,175400,49600
2022,Minnesota,24300,11900,105300,46900,531500,100,0,0,0,4180500,127300,25600
2022,Mississippi,2400,1600,22300,31600,302000,100,0,0,0,2275400,75400,9100
2022,Missouri,17900,10400,95100,61300,576700,1200,100,0,0,4444600,176200,38900
2022,Montana,3300,1700,17100,33200,98000,0,0,0,0,765400,69900,11000
2022,Nebraska,4600,2900,27300,25600,201800,100,0,0,0,1576900,75100,25900
2022,Nevada,32900,8800,59100,24700,130700,200,100,0,0,2157700,85200,21300
2022,New Hampshire,7000,4800,31100,12900,95400,100,0,0,0,1180700,29400,12300
2022,New Jersey,87000,26800,142600,25900,404200,300,0,0,0,6339500,85500,36900
2022,New Mexico,7100,3900,37600,28600,155900,100,100,0,0,1584500,88000,23600
2022,New York,84700,59800,259600,48400,633100,400,100,0,0,9987400,152000,80800
2022,North Carolina,45600,18800,175300,71300,675300,300,100,0,0,7700300,209600,73700
2022,North Dakota,600,600,6600,18300,93500,0,0,0,0,614300,43800,7800
2022,Ohio,34100,17800,165700,63400,868500,700,100,0,0,8868300,197000,62700
2022,Oklahoma,16300,11500,47000,60200,380800,2000,300,0,0,3538100,147500,46200
2022,Oregon,47000,22500,138900,50200,186300,100,100,0,0,3065400,216100,53200
2022,Pennsylvania,47400,25400,199600,68100,698500,500,100,0,0,8888900,191700,45100
2022,Rhode Island,4300,3400,18600,2800,43100,0,0,0,0,782500,11200,6100
2022,South Carolina,13500,6700,66800,38300,411400,100,100,0,0,4254700,107600,45500
2022,South Dakota,1200,1000,10300,20000,105700,0,0,0,0,739400,53000,14500
2022,Tennessee,22000,8900,94000,45700,519400,100,100,0,0,5536100,157700,38600
2022,Texas,149000,42800,361800,420800,2398800,1400,1400,0,0,21065800,771000,133200
2022,Utah,28000,10200,69300,61500,189900,2300,600,0,0,2454700,155000,26000
2022,Vermont,5300,4200,17800,6400,40000,0,0,0,0,501500,14700,5100
2022,Virginia,56600,21700,198400,40000,496200,300,0,0,0,6643300,153700,31900
2022,Washington,104100,31400,270200,67500,348300,100,100,0,0,5650700,277400,52700
2022,West Virginia,1900,1400,18300,15600,127500,100,0,0,0,1267500,45700,10900
2022,Wisconsin,15700,10000,105200,46500,549700,300,0,0,0,4577400,144500,26900
2022,Wyoming,800,600,6900,19100,58600,0,0,0,0,483000,61200,14200
2022,United States,2442300,1012400,6291800,2526100,20906700,25600,6600,14900,0,241372900,7156900,1752800
2016,Alabama,500,900,29100,0,428300,20100,0,0,0,3777300,126500,53900
2016,Alaska,200,200,5000,0,55700,4900,0,0,0,525900,44800,19400
2016,Arizona,4700,4400,89600,0,427300,17500,0,0,100,4805000,179500,112800
2016,Arkansas,200,500,19100,0,320500,12600,0,0,0,2097800,96800,22200
2016,California,141500,116700,966700,0,1322600,80600,0,1300,400,27241000,710400,115500
2016,Colorado,5300,3800,74000,0,355500,15900,0,0,0,4180500,226800,89900
2016,Connecticut,2000,2800,43200,0,160800,3200,0,0,0,2690900,59700,30200
2016,Delaware,300,700,11200,0,68300,1400,0,0,0,749800,17000,7200
2016,District of Columbia,600,500,11800,0,17600,300,0,0,0,277800,3200,1300
2016,Florida,11600,10100,207100,0,1168900,18000,0,0,0,13929200,353300,133600
2016,Georgia,18000,4000,86400,0,710700,26900,0,0,0,7377700,206700,114800
2016,Hawaii,4200,1200,22600,0,43600,1500,0,0,0,953300,17800,7400
2016,Idaho,400,600,16300,0,107100,12800,0,0,0,1354300,123000,56200
2016,Illinois,5800,6000,146500,0,968600,18500,0,0,0,8748600,200900,94500
2016,Indiana,1300,2400,54500,0,569300,19900,0,0,0,4855200,156800,82500
2016,Iowa,400,1200,26900,0,367400,13400,0,0,0,2418600,107600,80600
2016,Kansas,600,1000,26200,0,250600,14200,0,0,0,2095000,90000,42400
2016,Kentucky,500,900,30900,0,336000,15600,0,0,0,3285300,115200,47500
2016,Louisiana,400,500,17700,0,469700,11900,0,0,0,3047300,152400,36600
2016,Maine,300,1000,17900,0,104700,1700,0,0,0,1011700,31000,12900
2016,Maryland,3200,5000,85900,0,327800,6100,0,0,0,4039100,105200,44500
2016,Massachusetts,3600,5200,98300,0,315600,3400,0,0,0,4623900,79000,38800
2016,Michigan,1600,11600,64900,0,1186000,19800,0,0,0,6902900,190800,81100
2016,Minnesota,1600,2400,58900,0,549600,13600,0,0,0,3981400,135100,51900
2016,Mississippi,100,200,11800,0,279600,9500,0,0,0,2106700,78300,16300
2016,Missouri,1400,2100,63800,0,589600,21800,0,0,0,4597300,194200,71300
2016,Montana,200,200,9800,0,111700,5400,0,0,0,750600,87600,22600
2016,Nebraska,300,600,14500,0,208300,9900,0,0,0,1468900,79800,38300
2016,Nevada,2000,1400,30700,0,138800,7100,0,0,0,1923600,83000,36000
2016,New Hampshire,400,1000,19200,0,100900,1800,0,0,0,1132600,34300,16900
2016,New Jersey,4200,5500,80900,0,470400,4400,0,0,0,6001300,111500,51600
2016,New Mexico,500,600,20800,0,142300,7800,0,0,0,1375900,88400,37200
2016,New York,6100,12100,166500,0,895500,10200,0,0,0,10013300,191300,112600
2016,North Carolina,2900,3600,107400,0,642800,26100,0,0,0,7095700,218900,108900
2016,North Dakota,0,100,3400,0,118500,5100,0,0,0,566300,51900,20200
2016,Ohio,2600,4400,91900,0,909400,21600,0,0,0,8740000,209700,109200
2016,Oklahoma,600,700,24800,0,599800,20300,0,0,0,3277300,171700,73100
2016,Oregon,7700,4300,83300,0,168600,15500,0,0,0,3077900,220300,100900
2016,Pennsylvania,3200,5400,103200,0,776400,15300,0,0,0,8767400,223100,90200
2016,Rhode Island,300,600,11000,0,44300,700,0,0,0,778200,14000,8500
2016,South Carolina,800,1200,39300,0,373900,16100,0,0,0,3814700,102900,67900
2016,South Dakota,100,200,5300,0,113100,5700,0,0,0,667200,56200,24200
2016,Tennessee,2600,1700,48400,0,442400,21300,0,0,0,4772600,137900,59800
2016,Texas,11900,8000,205800,0,2596600,64700,0,0,0,18245400,961200,213100
2016,Utah,2500,1700,32700,0,172900,10800,0,0,0,2072100,150800,38700
2016,Vermont,300,1200,11600,0,49300,800,0,0,0,521600,20200,8400
2016,Virginia,3100,4200,126700,0,463300,17900,0,0,0,6554200,168900,64900
2016,Washington,14900,6400,143400,0,304100,24400,0,0,0,5329200,272100,133900
2016,West Virginia,100,300,9200,0,150300,4400,0,0,0,1286500,52000,21600
2016,Wisconsin,2600,2600,61700,0,579200,14400,0,0,0,4500500,154400,52900
2016,Wyoming,100,100,3800,0,64100,4800,0,0,0,448600,69900,23700
2016,United States,280300,254000,3741600,0,22138300,721600,0,1300,500,224855100,7734000,3000600
2017,Alabama,800,1100,30600,0,476700,18500,0,0,0,3750700,131500,49000
2017,Alaska,400,300,5200,0,59400,4400,0,0,0,506800,43200,16400
2017,Arizona,7200,5800,96000,0,484600,16600,0,0,100,4940200,187500,108300
2017,Arkansas,300,600,20000,0,352700,10800,0,0,0,2097400,100100,19800
2017,California,189700,159600,1039300,0,1495800,79300,0,3200,400,28171500,738600,122200
2017,Colorado,8000,5200,79800,0,395500,14800,0,0,0,4256700,232400,83100
2017,Connecticut,3000,3900,45200,0,179800,2900,0,0,0,2715700,57200,29600
2017,Delaware,400,900,11900,0,74900,1300,0,0,0,754200,16900,7000
2017,District of Columbia,800,700,13600,0,23000,300,0,0,0,287400,3000,1200
2017,Florida,15900,13400,219700,0,1318500,16800,0,0,0,14267800,369900,131600
2017,Georgia,14400,5200,92200,0,793600,25100,0,0,0,7435300,218100,108000
2017,Hawaii,5400,1700,23700,0,48400,1300,0,0,0,961200,18100,7000
2017,Idaho,700,800,17700,0,123600,12000,0,0,0,1387400,130600,34500
2017,Illinois,8300,7700,155800,0,1056300,16400,0,0,0,8689700,200300,89700
2017,Indiana,1900,3200,59700,0,645000,17900,0,0,0,4880700,161600,76900
2017,Iowa,600,1500,29000,0,405200,12300,0,0,0,2413800,112500,75400
2017,Kansas,1000,1300,28200,0,277900,13200,0,0,0,2099900,92600,35900
2017,Kentucky,700,1200,33900,0,381500,14500,0,0,0,3319800,120300,44300
2017,Louisiana,600,700,18700,0,512300,10500,0,0,0,3055100,155900,33900
2017,Maine,500,1300,18900,0,120700,1600,0,0,0,1013200,31200,12300
2017,Maryland,4400,6500,91200,0,369400,5500,0,0,0,4056000,105500,42100
2017,Massachusetts,5600,7900,103600,0,356300,3000,0,0,0,4667100,76900,37800
2017,Michigan,2500,12000,72000,0,1300200,17400,0,0,0,6879500,342300,75100
2017,Minnesota,2300,3100,63300,0,595100,12100,0,0,0,3960100,137200,47100
2017,Mississippi,200,300,12800,0,319400,7700,0,0,0,2136700,83400,15100
2017,Missouri,2100,3300,88800,0,709800,19800,0,0,0,4645900,206100,64900
2017,Montana,300,300,10000,0,118100,4900,0,0,0,737900,89000,19700
2017,Nebraska,500,800,15800,0,230800,9100,0,0,0,1475100,82400,35700
2017,Nevada,3100,2000,34400,0,157000,6600,0,0,0,1965700,86900,33800
2017,New Hampshire,600,1500,20300,0,113100,1600,0,0,0,1138200,33600,16100
2017,New Jersey,6900,8100,84900,0,508700,4100,0,0,0,6137800,110500,50300
2017,New Mexico,700,1000,23600,0,173100,7600,0,0,0,1474900,97600,35600
2017,New York,9400,17100,171000,0,960800,8700,0,0,0,9995700,186700,108400
2017,North Carolina,4400,4800,114300,0,727600,24100,0,0,0,7161700,225500,103900
2017,North Dakota,100,200,3700,0,128400,4700,0,0,0,566800,53500,17700
2017,Ohio,3700,5600,98600,0,1010100,19500,0,0,0,8722000,215300,101200
2017,Oklahoma,1200,900,25900,0,624400,18800,0,0,0,3238300,175100,67200
2017,Oregon,10000,6000,90900,0,192900,14500,0,0,0,3130800,229000,91400
2017,Pennsylvania,4400,7500,110100,0,846200,13400,0,0,0,8728400,224600,82400
2017,Rhode Island,400,800,11800,0,49600,600,0,0,0,776800,13300,7900
2017,South Carolina,1200,1600,41900,0,426200,15000,0,0,0,3869600,107800,64600
2017,South Dakota,100,200,5900,0,125700,5300,0,0,0,681900,59700,22600
2017,Tennessee,2900,2100,53400,0,500300,19900,0,0,0,4834800,144000,55200
2017,Texas,16100,10900,217100,0,2813400,56900,0,0,0,18252800,982900,194300
2017,Utah,3600,2500,36700,0,192600,10100,0,0,0,2136000,161000,36200
2017,Vermont,700,1600,12200,0,54600,700,0,0,0,518700,19600,8000
2017,Virginia,5100,6100,136800,0,534100,16500,0,0,0,6707400,173300,60100
2017,Washington,21000,9800,165100,0,362100,23000,0,0,0,5557300,287500,119700
2017,West Virginia,100,400,9700,0,164700,4000,0,0,0,1278100,53800,18400
2017,Wisconsin,2800,3500,67100,0,648900,13000,0,0,0,4530600,159100,49500
2017,Wyoming,100,100,4000,0,68700,4500,0,0,0,448600,71200,21700
2017,United States,377100,344600,4036000,0,24607700,663100,0,3200,500,227415700,8115800,2789800
2018,Alabama,1300,1500,31800,0,509500,17000,0,0,0,3733700,135900,46000
2018,Alaska,500,300,5400,0,62000,3700,0,0,0,484900,41000,16100
2018,Arizona,12600,7700,102000,0,533600,15500,0,0,0,5061900,196300,103700
2018,Arkansas,600,800,20300,0,370600,9200,0,0,0,2070200,101700,18100
2018,California,273500,215000,1085300,0,1615200,77700,0,9400,300,28646700,761600,129800
2018,Colorado,12500,7400,84700,0,420500,13500,0,0,0,4278900,236200,78200
2018,Connecticut,5000,5200,45100,0,188100,2500,0,0,0,2643300,54000,28200
2018,Delaware,800,1200,12300,0,80700,1200,0,0,0,758500,17000,6900
2018,District of Columbia,1100,1000,13900,0,23500,200,0,0,0,291000,2600,1100
2018,Florida,27400,17400,226900,0,1423900,15500,0,0,0,14541500,386500,135600
2018,Georgia,15900,7000,97100,0,852500,23400,0,0,0,7500000,230100,104100
2018,Hawaii,6600,2400,24800,0,52100,1100,0,0,0,969000,17800,6900
2018,Idaho,1100,1100,19600,0,136900,11200,0,0,0,1426000,138400,26300
2018,Illinois,13600,9900,163800,0,1110700,14800,0,0,0,8631200,200800,89600
2018,Indiana,3400,4100,64000,0,698200,16100,0,0,0,4881200,168300,73400
2018,Iowa,1100,2000,30700,0,430600,11200,0,0,0,2397500,115300,72800
2018,Kansas,1700,1800,29600,0,295700,12100,0,0,0,2087000,94500,32400
2018,Kentucky,1200,1500,35800,0,414300,13200,0,0,0,3308700,123600,41100
2018,Louisiana,900,900,19000,0,539200,9500,0,0,0,3034700,158400,32200
2018,Maine,800,1800,19600,0,132700,1400,0,0,0,1006500,31100,11700
2018,Maryland,8400,8400,95300,0,389100,4900,0,0,0,4075000,104600,40700
2018,Massachusetts,10300,11600,107000,0,387200,2600,0,0,0,4667700,74200,37500
2018,Michigan,4200,12300,79000,0,1351800,15300,0,0,0,6879900,285300,70300
2018,Minnesota,4900,4800,71000,0,660700,10700,0,0,0,4078700,138800,42600
2018,Mississippi,300,500,13600,0,342300,6300,0,0,0,2125900,89700,15000
2018,Missouri,3500,4200,98600,0,744500,17800,0,0,0,4638300,212900,60600
2018,Montana,500,400,10000,0,123700,4400,0,0,0,729000,89600,18400
2018,Nebraska,900,1000,16800,0,246300,8400,0,0,0,1474400,84200,34000
2018,Nevada,5100,2900,37300,0,171800,6200,0,0,0,2005700,90600,32800
2018,New Hampshire,1200,2000,20700,0,124700,1400,0,0,0,1145600,33600,15800
2018,New Jersey,13400,10800,89200,0,540100,3800,0,0,0,6333400,109700,50700
2018,New Mexico,1300,1300,25000,0,183700,6900,0,0,0,1478700,100000,33500
2018,New York,15500,24300,173200,0,1003900,7800,0,0,0,9967300,184600,107000
2018,North Carolina,7300,6500,119400,0,791100,22300,0,0,0,7205800,229300,99200
2018,North Dakota,100,200,3700,0,133300,4300,0,0,0,560300,54700,15900
2018,Ohio,6400,7200,104900,0,1075400,17600,0,0,0,8725900,220800,96000
2018,Oklahoma,3700,1300,27800,0,629100,17100,0,0,0,3204200,178300,64500
2018,Oregon,13800,8400,96300,0,210600,13500,0,0,0,3177400,238000,85700
2018,Pennsylvania,8000,9500,114800,0,893300,11900,0,0,0,8661000,227000,77500
2018,Rhode Island,700,1200,12400,0,55500,600,0,0,0,792000,13200,7800
2018,South Carolina,2000,2200,43800,0,462200,14100,0,0,0,3906000,112500,61700
2018,South Dakota,200,300,6300,0,135300,5000,0,0,0,689100,62000,21600
2018,Tennessee,3900,2900,59200,0,567600,19100,0,0,0,5059400,164100,55600
2018,Texas,24500,14700,227700,0,3005900,51300,0,0,0,18453800,1019300,175300
2018,Utah,5600,3400,40900,0,214100,9700,0,0,0,2221100,173700,36600
2018,Vermont,1100,2000,12600,0,57500,600,0,0,0,513600,19100,7700
2018,Virginia,9900,8100,141300,0,569100,15100,0,0,0,6721800,173400,55800
2018,Washington,30200,13700,177800,0,387400,21400,0,0,0,5608000,295400,110600
2018,West Virginia,200,500,10100,0,172900,3500,0,0,0,1256800,54700,16500
2018,Wisconsin,3700,4500,70900,0,696300,11400,0,0,0,4515800,162500,47100
2018,Wyoming,200,200,4100,0,71500,4200,0,0,0,450100,72900,20400
2018,United States,572600,461300,4242400,0,26288400,609200,0,9400,300,229074100,8279800,2668600
2019,Alabama,2000,1800,33700,0,543900,15900,0,0,0,3806700,144900,44300
2019,Alaska,700,400,5800,0,64000,3200,0,0,0,473700,40100,14600
2019,Arizona,19500,9600,108100,0,571500,14300,0,0,0,5186900,208800,99000
2019,Arkansas,900,1000,21100,0,383000,8000,0,0,0,2059000,105200,16700
2019,California,349700,247300,1154200,0,1698700,76200,0,12700,300,29210100,785800,136900
2019,Colorado,19200,9300,92400,0,447700,12600,0,0,0,4347900,246700,73600
2019,Connecticut,6900,5700,47400,0,196800,2300,0,0,0,2632800,53100,27700
2019,Delaware,1300,1300,13200,0,85500,1000,0,0,0,768600,17200,6800
2019,District of Columbia,1800,1300,13700,0,22500,200,0,0,0,286300,2400,1100
2019,Florida,40300,20400,235300,0,1486600,14200,0,0,0,14726700,408500,139200
2019,Georgia,19000,8400,101800,0,890400,22000,0,0,0,7552700,237500,101800
2019,Hawaii,8800,2900,25800,0,55600,1000,0,0,0,970900,17900,6800
2019,Idaho,1600,1500,21900,0,148600,10500,0,0,0,1453500,147200,25500
2019,Illinois,19300,11600,177300,0,1153600,13400,0,0,0,8665900,209000,98000
2019,Indiana,5100,4700,68900,0,745100,14500,0,0,0,4887900,175900,70700
