Law Id,State,Title,Text,Enacted Date,Amended Date,Recent?,Sequence Number,Type,Agency,Significant Update Date,Expired Date,Archived Date,Repealed Date,Topic,Technology Categories,Incentive Categories,Regulation Categories,User Categories,References
284,US,Congestion Mitigation and Air Quality (CMAQ) Improvement Program,"The CMAQ Program provides funding to state departments of transportation
(DOTs), local governments, and transit agencies for projects and
programs that help meet the requirements of the Clean Air Act by
reducing mobile source emissions and regional congestion on
transportation networks. Eligible activities include transit
improvements, travel demand management strategies, congestion relief
efforts (such as high occupancy vehicle lanes), diesel retrofit
projects, alternative fuel vehicles and infrastructure, and medium- or
heavy-duty zero emission vehicles and related charging equipment.
Projects supported with CMAQ funds must demonstrate emissions
reductions, be located in or benefit a U.S. Environmental Protection
Agency-designated nonattainment or maintenance area, and be a
transportation project. For more information, see the [Bipartisan
Infrastructure Law
CMAQ](https://www.fhwa.dot.gov/bipartisan-infrastructure-law/cmaq.cfm)
fact sheet and [CMAQ Improvement
Program](http://www.fhwa.dot.gov/environment/air_quality/cmaq/) website.

(Reference [Public Law 117-58](https://www.congress.gov/public-laws/117th-congress), [Public Law 112-141](https://www.congress.gov/public-laws/112th-congress), [23 U.S. Code 149](https://www.govinfo.gov/), and [23 U.S. Code 151](https://www.govinfo.gov/))",2005-08-10 00:00:00 UTC,2021-11-15 00:00:00 UTC,FALSE,54,Incentives,U.S. Department of Transportation,2021-11-29 21:00:16 UTC,,,,,BIOD|ETH|ELEC|HY|IR|NG|PHEV|LPG,GNT,,STATION|FLEET|GOV,https://www.congress.gov/public-laws/117th-congress|https://www.congress.gov/public-laws/112th-congress|https://www.govinfo.gov/|https://www.govinfo.gov/
288,US,Clean Cities Coalition Network,"The mission of Clean Cities Coalition Network is to foster the economic,
environmental, and energy security of the United States by working
locally to advance affordable, domestic transportation fuels and
technologies. Nearly 100 volunteer coalitions carry out this mission by
developing public/private partnerships to promote alternative and
renewable fuels, idle-reduction measures, fuel economy, improvements,
and emerging transportation technologies. The Clean Cities Coalition
Network provides information about financial opportunities, coordinates
technical assistance projects, updates and maintains databases and
websites, and publishes technical and informational materials. For more
information, see the [Clean Cities Coalition
Network](https://cleancities.energy.gov/) website.
",,,FALSE,21,Programs,U.S. Department of Energy,,,,,,AFTMKTCONV|BIOD|ETH|ELEC|EFFEC|HEV|HY|IR|NG|NEVS|PHEV|LPG,GNT|OTHER,,STATION|AFP|PURCH|MAN|FLEET|GOV|IND,
317,US,State Energy Program (SEP) Funding,"The SEP provides grants to states to assist in designing, developing,
and implementing renewable energy and energy efficiency programs,
including programs to help reduce carbon emissions in the transportation
sector by 2050 and accelerate the use of alternative transportation
fuels for, and the electrification of, state government vehicles, fleet
vehicles, taxis and ridesharing services, mass transit, school buses,
ferries, and privately owned passenger and medium- and heavy-duty
vehicles. Each state's energy office receives SEP funding and manages
all SEP-funded projects. States may also receive project funding from
technology programs in the U.S. Department of Energy's Office of Energy
Efficiency and Renewable Energy (EERE) for SEP Special Projects. EERE
distributes the funding through an annual competitive solicitation to
state energy offices. SEP is authorized through fiscal year 2026.

For more information, see the
[SEP](http://energy.gov/eere/wipo/state-energy-program) website.

(Reference [Public Law 117-58](https://www.congress.gov/public-laws/117th-congress) and [42 U.S. Code 6322 through 6325](https://www.govinfo.gov/))",,2021-11-15 00:00:00 UTC,FALSE,26,Incentives,U.S. Department of Energy,2021-11-29 21:33:02 UTC,,,,,BIOD|ETH|ELEC|EFFEC|HY|NG|PHEV|LPG,GNT,,OTHER,https://www.congress.gov/public-laws/117th-congress|https://www.govinfo.gov/
323,US,Clean School Bus,"The U.S. Environmental Protection Agency's (EPA) Clean School Bus
program provides funding to eligible applicants for the replacement of
existing school buses with clean, alternative fuel school buses or
zero-emission school buses. EPA may award up to 100% of the cost of the
replacement bus, charging equipment, or fueling infrastructure.
Alternative fuels include electricity, natural gas, hydrogen, or
propane. Eligible applicants are school districts, state and local
government programs, federally recognized Indian tribes, non-profit
organizations, and eligible contractors. EPA will prioritize funding for
high-need local education agencies; low income, rural and tribal
schools; and, applications that cost share through public-private
partnerships, grants from other entities, or school bonds. For more
information, including funding availability, timeline, and application
materials, see the EPA [Clean School
Bus](https://www.epa.gov/cleanschoolbus) website.

(Reference [Public Law 117-58](https://www.congress.gov/public-laws/117th-congress) and [42 U.S. Code 16091](https://www.govinfo.gov/))",,2021-11-15 00:00:00 UTC,FALSE,33,Incentives,U.S. Environmental Protection Agency,2022-08-16 12:38:06 UTC,,,,,AFTMKTCONV|ETH|ELEC|EFFEC|HY|IR|NG|PHEV|LPG,GNT,,FLEET|GOV|TRIBAL,https://www.congress.gov/public-laws/117th-congress|https://www.govinfo.gov/
324,US,Clean Construction and Agriculture,"Clean Construction is a voluntary program that promotes the reduction of
diesel exhaust emissions from construction equipment and vehicles by
encouraging proper operations and maintenance, use of emissions-reducing
technologies, and use of cleaner fuels.

Clean Agriculture is a voluntary program that promotes the reduction of
diesel exhaust emissions from agricultural equipment and vehicles by
encouraging proper operations and maintenance by farmers, ranchers, and
agribusinesses, use of emissions-reducing technologies, and use of
cleaner fuels.

Clean Construction and Clean Agriculture are part of the U.S.
Environmental Protection Agency\'s [Diesel Emissions Reduction Act
(DERA) Program](http://www.epa.gov/cleandiesel/), which offers funding
for clean diesel construction and agricultural equipment projects.

For more information, see the [Reducing Diesel Emissions from
Construction and
Agriculture](https://www.epa.gov/dera/reducing-diesel-emissions-construction-and-agriculture)
website.
",,,FALSE,34,Programs,U.S. Environmental Protection Agency,,,,,,BIOD|ELEC|HEV|HY|NG|PHEV|LPG,GNT,,PURCH|FLEET|OTHER,
325,US,Ports Initiative,"The U.S. Environmental Protection Agency\'s (EPA) Ports Initiative is an
incentive-based program designed to reduce emissions by encouraging port
authorities and terminal operators to retrofit and replace older diesel
engines with new technologies and use cleaner fuels. EPA\'s Ports
Initiative offers funding to port authorities and public entities to
help them overcome barriers that impede the adoption of cleaner diesel
technologies and strategies. For more information, see the [Ports
Initiative](https://www.epa.gov/ports-initiative) website.
",,,FALSE,34,Programs,U.S. Environmental Protection Agency,,,,,,BIOD|ELEC|HEV|HY|NG|PHEV|LPG,GNT|OTHER,,FLEET|GOV,
344,US,Vehicle Incremental Cost Allocation,"The U.S. General Services Administration (GSA) must allocate the
incremental cost of purchasing alternative fuel vehicles (AFVs) across
the entire fleet of vehicles distributed by GSA. This mandate also
applies to other federal agencies that procure vehicles for federal
fleets. For more information, see the GSA\'s
[AFV](http://www.gsa.gov/afv) website. (Reference 42 [U.S.
Code](https://www.govinfo.gov/) 13212 (c))
",1992-10-24 00:00:00 UTC,2005-08-08 00:00:00 UTC,FALSE,61,Laws and Regulations,U.S. General Services Administration,,,,,,BIOD|ETH|ELEC|HY|NG|PHEV|LPG,,REQ,GOV,
347,US,Vehicle Acquisition and Fuel Use Requirements for State and Alternative Fuel Provider Fleets,"Under the Energy Policy Act (EPAct) of 1992, as amended, certain state
government and alternative fuel provider fleets are required to acquire
alternative fuel vehicles (AFVs) as a portion of their annual light-duty
vehicle acquisitions. Compliance is required by fleets that operate,
lease, or control 50 or more light-duty vehicles within the United
States. Of those 50 vehicles, at least 20 must be used primarily within
a single Metropolitan Statistical Area/Consolidated Metropolitan
Statistical Area, and those same 20 vehicles must also be capable of
being centrally fueled for the fleet to be subject to the regulatory
requirements.

Under [Standard
Compliance](https://epact.energy.gov/standard-compliance), the AFVs that
covered fleets acquire help them achieve compliance, with each AFV
acquired earning the fleet one AFV-acquisition credit. Covered fleets
may earn additional credits for AFVs earned in excess of their
requirements, and these credits may be banked for future use toward
compliance or traded with other fleets. Additionally, fleets that use
fuel blends containing at least 20% biodiesel (B20) in medium- and
heavy-duty vehicles may earn credits toward their annual AFV-acquisition
requirements. A fleet may also earn credits that may be used toward
compliance or banked once the fleet achieves compliance for investments
in alternative fuel infrastructure, mobile non-road equipment, and
emerging technologies associated with certain electric drive vehicle
technologies.

Fleets may also opt into [Alternative
Compliance](https://epact.energy.gov/alternative-compliance), which
allows fleets the option to choose a petroleum reduction path in lieu of
acquiring AFVs under Standard Compliance. Interested fleets must obtain
from DOE a waiver from Standard Compliance by submitting a plan that
demonstrates a path by which they will achieve a certain level of
petroleum reduction specific to their fleet composition.

For more information, visit the [EPAct State and Alternative Fuel
Provider Fleets](https://epact.energy.gov/) website.

(Reference 42 [U.S. Code](https://www.govinfo.gov/) 13251 and 13263a,
and 10 [CFR](https://www.govinfo.gov/) 490)
",1992-10-24 00:00:00 UTC,2007-03-20 00:00:00 UTC,FALSE,23,Laws and Regulations,U.S. Department of Energy,2015-01-02 16:15:19 UTC,,,,,BIOD|ETH|ELEC|EFFEC|HY|NG|PHEV|LPG,,REQ,FLEET|GOV,
357,US,Vehicle Acquisition and Fuel Use Requirements for Federal Fleets,"Under the Energy Policy Act (EPAct) of 1992, 75% of new light-duty
vehicles acquired by covered federal fleets must be alternative fuel
vehicles (AFVs). As amended in January 2008, Section 301 of EPAct 1992
expands the definition of AFVs to include hybrid electric vehicles, fuel
cell vehicles, and advanced lean burn vehicles. Fleets that use fuel
blends containing at least 20% biodiesel (B20) may earn credits toward
their annual requirements. Federal fleets are also required to use
alternative fuels in dual-fuel vehicles unless the U.S. Department of
Energy (DOE) approves waivers for agency vehicles; grounds for a waiver
include lack of alternative fuel availability and unreasonable cost (per
EPAct 2005, section 701).

Additional requirements for federal fleets were included in the [Energy
Independence and Security Act of
2007](http://www.afdc.energy.gov/laws/eisa), such as fleet management
plans and petroleum reduction from 2005 levels (Section 142), low
greenhouse gas (GHG) emitting vehicle acquisition requirements (Section
141), and renewable fuel infrastructure installation requirements
(Section 246). For more information, see the [Federal Fleet
Management](https://federalfleets.energy.gov/) website.

To track progress toward meeting AFV acquisition and fuel use
requirements, federal fleets must report on their percent alternative
fuel increase compared to the fiscal year 2005 baseline, alternative
fuel use as a percentage of total fuel consumption, AFV acquisitions as
a percentage of vehicle acquisitions, and fleet-wide miles per gasoline
gallon equivalent of petroleum fuels.

Executive Order 13834, issued in May 2018, requires the Secretary of
Energy (Secretary), in coordination with the Secretary of Defense, the
Administrator of General Services, and the heads of other agencies as
appropriate, to review the existing federal vehicle fleet requirements.
In April 2019, the Secretary provided a report to the Chairman of the
Council on Environmental Quality and the Director of the Office of
Management and Budget detailing opportunities to optimize federal fleet
performance, reduce associated costs, and streamline reporting and
compliance requirements. Specifically, the report recommends that
federal agencies identify and implement strategies to:

-   Right-size the fleet
-   Reduce vehicle miles traveled
-   Implement more fuel efficient vehicles
-   Align the implementation of AFVs and associated fueling
    infrastructure

Executive Order 14008, issued in January 2021, requires the Chair of the
Council on Environmental Quality, the Administrator of General Services,
and the Director of the Office and Management and Budget, in
coordination with the Secretary of Commerce, the Secretary of Labor, the
Secretary, and the heads of other relevant agencies, to assist the
National Climate Advisor in developing a comprehensive plan to
facilitate clean and zero-emission vehicles for federal, state, local,
and tribal government fleets, including vehicles of the U.S. Postal
Service. The plan must be submitted to the National Climate Task Force
by April 27, 2021.

(Reference 42 [U.S. Code](https://www.govinfo.gov/) 13212 and [Executive
Order
13834](https://www.gpo.gov/fdsys/pkg/FR-2018-05-22/pdf/2018-11101.pdf)
and [Executive Order
14008](https://www.govinfo.gov/content/pkg/FR-2021-02-01/pdf/2021-02177.pdf))
",1992-10-24 00:00:00 UTC,2021-01-27 00:00:00 UTC,FALSE,22,Laws and Regulations,U.S. Department of Energy,2021-04-06 23:22:28 UTC,,,,,BIOD|ETH|ELEC|EFFEC|HEV|HY|NG|PHEV|LPG,,REQ,GOV|TRIBAL,http://www.gpo.gov/fdsys|https://www.gpo.gov/fdsys/pkg/FR-2018-05-22/pdf/2018-11101.pdf|https://www.govinfo.gov/content/pkg/FR-2021-02-01/pdf/2021-02177.pdf
358,US,Vehicle Acquisition and Fuel Use Requirements for Private and Local Government Fleets,"Under the Energy Policy Act (EPAct) of 1992, the U.S. Department of
Energy (DOE) was directed to determine whether private and local
government fleets should be mandated to acquire alternative fuel
vehicles (AFVs). In January 2004, DOE published a final rule announcing
its decision not to implement an AFV acquisition mandate for private and
local government fleets. In response to a March 2006 ruling by a U.S.
District Court, DOE issued a subsequent final rulemaking on the new
Replacement Fuel Goal in March 2007, which extended the EPAct 1992 goal
to 2030. The goal is to achieve a domestic production capacity for
replacement fuels sufficient to replace 30% of the U.S. motor fuel
consumption. In March 2008, DOE issued its determination not to
implement a fleet compliance mandate for private and local government
fleets, concluding that such a mandate is not necessary to achieve the
Replacement Fuel Goal. For more information on the Private and Local
Government Fleet Rule compliance, visit the [EPAct Private and Local
Government Fleet Determination](https://epact.energy.gov/about) website.
(Reference 42 [U.S. Code](https://www.govinfo.gov/) 13257)
",1992-10-24 00:00:00 UTC,2008-03-14 00:00:00 UTC,FALSE,24,Laws and Regulations,U.S. Department of Energy,,,,,,BIOD|ETH|ELEC|HY|NG|PHEV|LPG,,REQ,FLEET|GOV,
383,US,Voluntary Airport Low Emission (VALE) Program,"The goal of the VALE Program is to reduce ground level emissions at
commercial service airports located in designated ozone and carbon
monoxide air quality nonattainment and maintenance areas. The VALE
Program provides funding through the Airport Improvement Program and the
Passenger Facility Charges program for the purchase of low emission
vehicles, development of fueling and recharging stations, implementing
gate electrification, and other airport air quality improvements. For
more information, see the [VALE
Program](http://www.faa.gov/airports/environmental/vale/) website.
(Reference 49 [U.S. Code](https://www.govinfo.gov/) 47139)
",2005-08-10 00:00:00 UTC,,FALSE,56,Programs,U.S. Department of Transportation,,,,,,BIOD|ETH|ELEC|HEV|HY|NG|PHEV|LPG,GNT,,STATION|FLEET,
